title,genres,imdb_score
The Perfect Mother,"[drama, thriller]",5.9
Bhool Bhulaiyaa 2,"[horror, comedy]",5.9
Life After Death with Tyler Henry,[reality],5.9
Stand Out: An LGBTQ+ Celebration,"[comedy, documentation]",5.9
Dear Friend,"[comedy, drama, romance]",5.9
Secrets of Summer,"[drama, family, music]",5.9
Race: Bubba Wallace,"[documentation, sport]",5.9
Ms. Pat: Yall Wanna Hear Something Crazy?,[comedy],5.9
The Man from Toronto,"[action, thriller, drama, romance, comedy]",5.8
The Longest Night,"[action, crime, drama, thriller]",5.8
Bad Vegan: Fame. Fraud. Fugitives.,"[documentation, crime]",5.8
Restless,"[thriller, action, crime]",5.8
Angry Birds: Summer Madness,"[action, comedy, family, fantasy, animation]",5.8
David Spade: Nothing Personal,"[comedy, documentation]",5.8
Honeymoon With My Mother,[comedy],5.8
MaveriX,"[drama, family, sport, action]",5.8
Christina P: Mom Genes,"[comedy, documentation]",5.8
Mo Gilligan: Theres Mo to Life,[comedy],5.8
Gods Favorite Idiot,"[comedy, fantasy]",5.7
"Boo, Bitch","[scifi, comedy]",5.7
Windfall,"[crime, drama, thriller]",5.7
White Hot: The Rise & Fall of Abercrombie & Fitch,[documentation],5.7
Toscana,"[drama, romance]",5.7
Feria: The Darkest Light,"[scifi, crime, drama, fantasy, horror, thriller]",5.7
The Wrath of God,"[thriller, drama]",5.7
The Principles of Pleasure,[documentation],5.7
Is It Cake?,[reality],5.7
Borrego,"[crime, thriller]",5.7
The Takedown,"[action, comedy, crime, drama]",5.7
Without Saying Goodbye,"[romance, comedy]",5.7
Trivia Quest,"[family, fantasy, animation]",5.7
The Weekend Away,"[thriller, crime, drama]",5.6
Black Crab,"[scifi, thriller, war, action, drama]",5.6
Tyler Perrys A Madea Homecoming,"[comedy, drama, romance]",5.6
Maldivas,"[comedy, drama]",5.6
Summer Heat,"[drama, romance]",5.6
All Hail,"[drama, comedy]",5.6
"Love, Life & Everything in Between","[comedy, drama, romance]",5.6
Latte and the Magic Waterstone,"[animation, comedy, family, european]",5.6
In Good Hands,"[drama, comedy, romance, family]",5.6
Senior Year,"[comedy, drama]",5.5
Cracow Monsters,"[scifi, drama, fantasy, horror, thriller]",5.5
Joel Kim Booster: Psychosexual,"[comedy, documentation]",5.5
F3: Fun and Frustration,"[comedy, romance, family]",5.5
Jane Fonda & Lily Tomlin: Ladies Night Live,"[comedy, documentation]",5.5
Dancing on Glass,"[drama, thriller]",5.5
Amandla,"[drama, crime]",5.5
"Michela Giraud: The Truth, I Swear!","[comedy, documentation]",5.5
Spiderhead,"[scifi, thriller, drama, action, crime]",5.4
Bigbug,"[comedy, scifi, fantasy]",5.4
Welcome to Eden,"[action, scifi, drama, thriller]",5.4
Through My Window,"[drama, romance, comedy]",5.4
The Ultimatum: Marry or Move On,[reality],5.4
Ben & Jody,"[action, thriller, drama, fantasy]",5.4
Civil: Ben Crump,[documentation],5.4
Once Upon a Time... Happily Never After,"[scifi, comedy, fantasy]",5.4
How To Build a Sex Room,[reality],5.3
All American: Homecoming,"[drama, sport]",5.3
Farzar,"[scifi, animation, action, comedy]",5.3
Radhe Shyam,"[drama, romance]",5.3
Rumspringa,"[drama, comedy, romance]",5.3
Forever Out of My League,"[romance, comedy, drama]",5.3
Money Heist (Korean Remake),"[action, drama, thriller, crime]",5.2
Under the Amalfi Sun,"[romance, comedy, drama]",5.2
Beast,"[thriller, action, comedy, crime]",5.2
The Royal Treatment,"[romance, comedy, family]",5.2
Snoop Doggs F*cn Around Comedy Special,"[documentation, comedy, music]",5.2
Looop Lapeta,"[romance, thriller, action, comedy, crime]",5.2
Love Tactics,"[comedy, romance]",5.2
Senzo: Murder of a Soccer Star,"[crime, sport, documentation]",5.2
Into the Wind,"[comedy, drama, romance, sport]",5.2
Love & Gelato,"[romance, comedy, drama]",5.1
The Last Bus,"[scifi, comedy, drama, family, fantasy]",5
Savage Beauty,[drama],5
Blood Sisters,"[drama, crime, thriller]",5
Snowflake Mountain,[reality],4.9
"Hello, Goodbye, and Everything in Between","[drama, comedy, romance]",4.9
Heart Parade,"[comedy, romance]",4.9
Hurdang,"[drama, romance]",4.9
Only Jokes Allowed,[comedy],4.9
Blasted,"[action, comedy, scifi]",4.8
Texas Chainsaw Massacre,"[horror, thriller, crime]",4.8
Marmaduke,"[animation, comedy, family]",4.8
The Future Of,[documentation],4.7
The Bubble,[comedy],4.7
Choose or Die,"[scifi, thriller, drama, horror]",4.7
Pete Davidson Presents: The Best Friends,"[comedy, documentation]",4.7
Tall Girl 2,"[comedy, romance, drama, family]",4.7
Doom of Love,"[romance, drama]",4.7
UFO,"[drama, romance, documentation]",4.7
Celeb Five: Behind the Curtain,"[comedy, documentation]",4.7
Umma,"[horror, drama]",4.6
Pirate Gold of Adak Island,[reality],4.6
The Wasteland,"[thriller, horror, drama]",4.6
The Privilege,"[scifi, thriller, drama, horror]",4.6
Katt Williams: World War III,[comedy],4.6
Interceptor,"[thriller, action, drama]",4.5
Bill Burr Presents: Friends Who Kill,"[comedy, documentation]",4.5
Bruna Louise: Demolition,"[comedy, documentation]",4.5
The Taming of the Shrewd,"[romance, comedy]",4.5
Fistful of Vengeance,"[fantasy, action, crime, drama]",4.4
AI Love You,"[scifi, comedy, romance, drama]",4.4
"Young, Famous & African",[reality],4.4
"Lets Tie the Knot, Honey!","[comedy, romance]",4.4
Chosen,"[scifi, drama, thriller]",4.3
Battle: Freestyle,"[drama, music, romance]",4.3
40 Years Young,[comedy],4.3
For Jojo,"[comedy, drama]",4.2
Smother-In-Law,[comedy],4.2
All About Gila,[comedy],4.2
Mike Epps: Indiana Mike,"[comedy, documentation]",4.2
Brazen,"[thriller, romance, crime, drama]",4.1
Beauty,"[drama, music, romance]",3.9
Dangerous Liaisons,"[romance, drama]",3.9
Collision,"[drama, crime, thriller]",3.9
I Am Georgina,[reality],3.9
Amy Schumer Presents: Parental Advisory,"[comedy, documentation]",3.8
F*ck Love Too,"[comedy, romance]",3.8
Resident Evil,"[scifi, thriller, action, horror]",3.7
Glamour Girls,[drama],3.6
Jewel,[drama],3.3
First Class,[reality],2.8
Byron Baes,[reality],2.6
"Rodrigo Santanna: Im Here, Im Queer!",[comedy],2.6
365 Days: This Day,"[romance, drama]",2.5
Hype House,[reality],2.1
Hes Expecting,"[drama, comedy, romance, fantasy]",2
